Başkent,Enlem,Boylam
New Delhi,28.6139,77.2090
Niamey,13.5126,2.1128
Nicosia,35.1856,33.3823
Nouakchott,18.0735,-15.9582
Nuku'alofa,-21.1394,-175.2018
Ouagadougou,12.3714,-1.5197
Palikir,6.9248,158.1610
Panama City,8.9824,-79.5199
Paramaribo,5.8520,-55.2038
Phnom Penh,11.5564,104.9282
Podgorica,42.4410,19.2636
Port Louis,-20.1609,57.5012
Port Moresby,-9.4438,147.1803
Port of Spain,10.6549,-61.5019
Port-au-Prince,18.5944,-72.3074
Porto-Novo,6.4969,2.6289
Prague,50.0755,14.4378
Praia,14.9330,-23.5133
Pyongyang,39.0392,125.7625
Quito,-0.1807,-78.4678
Rabat,34.0209,-6.8416
Reykjavik,64.1355,-21.8954
Riyadh,24.7136,46.6753
Rome,41.9028,12.4964
Roseau,15.3092,-61.3794
San Jose,9.9281,-84.0907
San Marino,43.9333,12.4500
San Salvador,13.6929,-89.2182
Sana'a,15.3694,44.1910
Santiago,-33.4489,-70.6693
Santo Domingo,18.4861,-69.9312
Sarajevo,43.8563,18.4131
Seoul,37.5665,126.9780
Singapore,1.3521,103.8198
Skopje,41.9973,21.4280
Sofia,42.6977,23.3219
Suva,-18.1248,178.4501
Tallinn,59.4370,24.7535
Tarawa,-1.4518,173.0327
Tehran,35.6892,51.3890
Thimphu,27.4728,89.6390
Tirana,41.3275,19.8189
Tripoli,32.8872,13.1913
Tunis,36.8065,10.1815
Ulaanbaatar,47.8864,106.9057
Vaduz,47.1410,9.5209
Valletta,35.8997,14.5147
Vatican City,41.9029,12.4534
Victoria,-4.6191,55.4513
Vienna,48.2082,16.3738
Vientiane,17.9757,102.6331
Warsaw,52.2297,21.0122
Wellington,-41.2865,174.7762
Windhoek,-22.5609,17.0658
Yamoussoukro,6.8276,-5.2893
Yaounde,3.8480,11.5021
Zagreb,45.8150,15.9819
